model,folds,dice,hd95,params_M,throughput_img_s,input,batch,precision,gpu,torch
deconver_m1224_c64_k3,5,63.59,22.77,25.46,1.94,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
deconver_m12244_c64_k3,5,63.56,22.49,52.77,1.92,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
deconver_m11111_c64_k3,5,63.40,22.95,24.23,2.16,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
segresnet,5,63.20,21.91,75.17,2.52,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
deconver_m11111_c32_k3,5,62.99,22.83,10.55,4.32,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
deconver_m111111_c32_k3,5,62.91,22.80,24.30,4.31,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
deconver_m11111_c32_k5,5,62.85,23.19,11.13,2.24,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
deconver_m1224_c32_k3,5,62.77,22.54,6.46,3.91,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
nnunet,5,62.75,22.56,22.75,8.32,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
swinunetr,4,62.26,22.78,72.76,2.50,128^3,1,fp32,NVIDIA GeForce RTX 4060 Ti,2.10.0+cu126
