model,fold,params_M,throughput_img_s,dice,hd95
deconver_m1224_c64_k3,0,25.46,1.94,62.87,24.36
deconver_m1224_c64_k3,1,25.46,1.94,65.25,20.90
deconver_m1224_c64_k3,2,25.46,1.94,63.03,24.35
deconver_m1224_c64_k3,3,25.46,1.94,62.91,22.08
deconver_m1224_c64_k3,4,25.46,1.94,63.89,22.17
deconver_m12244_c64_k3,0,52.77,1.92,62.11,23.75
deconver_m12244_c64_k3,1,52.77,1.92,65.27,21.74
deconver_m12244_c64_k3,2,52.77,1.92,63.70,23.33
deconver_m12244_c64_k3,3,52.77,1.92,62.83,22.11
deconver_m12244_c64_k3,4,52.77,1.92,63.91,21.54
deconver_m11111_c64_k3,0,24.23,2.16,62.58,23.92
deconver_m11111_c64_k3,1,24.23,2.16,64.98,22.60
deconver_m11111_c64_k3,2,24.23,2.16,63.40,24.59
deconver_m11111_c64_k3,3,24.23,2.16,63.29,21.99
deconver_m11111_c64_k3,4,24.23,2.16,62.76,21.67
segresnet,0,75.17,2.52,62.78,22.52
segresnet,1,75.17,2.52,65.56,19.96
segresnet,2,75.17,2.52,62.00,25.20
segresnet,3,75.17,2.52,61.94,22.06
segresnet,4,75.17,2.52,63.73,19.80
deconver_m11111_c32_k3,0,10.55,4.32,61.29,23.93
deconver_m11111_c32_k3,1,10.55,4.32,65.08,21.02
deconver_m11111_c32_k3,2,10.55,4.32,62.64,23.70
deconver_m11111_c32_k3,3,10.55,4.32,62.90,22.94
deconver_m11111_c32_k3,4,10.55,4.32,63.05,22.55
deconver_m111111_c32_k3,0,24.30,4.31,61.10,24.09
deconver_m111111_c32_k3,1,24.30,4.31,64.56,22.43
deconver_m111111_c32_k3,2,24.30,4.31,62.71,23.64
deconver_m111111_c32_k3,3,24.30,4.31,62.65,22.13
deconver_m111111_c32_k3,4,24.30,4.31,63.53,21.69
deconver_m11111_c32_k5,0,11.13,2.24,62.55,24.10
deconver_m11111_c32_k5,1,11.13,2.24,64.18,22.83
deconver_m11111_c32_k5,2,11.13,2.24,62.73,24.88
deconver_m11111_c32_k5,3,11.13,2.24,62.06,22.79
deconver_m11111_c32_k5,4,11.13,2.24,62.70,21.37
deconver_m1224_c32_k3,0,6.46,3.91,61.35,24.35
deconver_m1224_c32_k3,1,6.46,3.91,64.49,22.53
deconver_m1224_c32_k3,2,6.46,3.91,63.03,21.88
deconver_m1224_c32_k3,3,6.46,3.91,62.40,22.23
deconver_m1224_c32_k3,4,6.46,3.91,62.56,21.69
nnunet,0,22.75,8.32,60.81,22.29
nnunet,1,22.75,8.32,64.72,22.73
nnunet,2,22.75,8.32,62.61,24.00
nnunet,3,22.75,8.32,61.59,22.81
nnunet,4,22.75,8.32,64.00,20.97
swinunetr,0,72.76,2.50,61.49,22.30
swinunetr,1,72.76,2.50,64.04,22.92
swinunetr,2,72.76,2.50,62.10,23.35
swinunetr,3,72.76,2.50,61.40,22.53
